"STATION","NAME","DATE","TMAX","TMIN"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-01","-3.3","-10.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-02","-2.2","-17.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-03","-5.6","-15.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-04","-2.8","-6.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-05","2.2","-3.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-06","1.1","-3.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-07","1.1","-5.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-08","0.0","-11.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-09","-1.7","-16.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-10","3.9","-6.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-11","3.3","-2.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-12","1.7","-1.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-13","0.6","-2.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-14","0.6","-2.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-15","2.8","0.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-16","1.7","0.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-17","1.1","-1.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-18","-0.6","-4.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-19","-1.1","-5.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-20","-4.4","-14.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-21","-3.3","-13.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-22","-1.1","-5.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-23","3.9","-4.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-24","0.0","-3.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-25","-1.7","-9.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-26","-2.2","-11.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-27","-2.2","-5.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-28","-3.3","-10.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-29","1.1","-8.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-30","6.1","0.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01-31","3.9","0.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-01","2.2","-1.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-02","-1.7","-10.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-03","-6.1","-11.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-04","2.2","-6.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-05","1.7","0.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-06","0.6","-2.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-07","2.2","-7.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-08","3.3","-1.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-09","11.7","1.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-10","11.7","-7.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-11","-3.3","-12.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-12","3.3","-7.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-13","1.7","-2.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-14","3.3","0.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-15","1.1","-3.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-16","1.1","-2.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-17","-1.1","-11.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-18","-1.7","-11.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-19","5.0","-5.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-20","5.6","1.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-21","1.7","-10.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-22","-4.4","-11.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-23","0.6","-4.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-24","-1.1","-6.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-25","11.7","-1.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-26","5.0","-1.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-27","3.3","-2.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02-28","-0.6","-10.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-01","5.0","-6.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-02","6.7","-1.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-03","7.8","-4.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-04","6.1","-4.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-05","2.2","-8.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-06","-0.6","-6.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-07","2.8","-2.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-08","1.7","-3.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-09","0.0","-5.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-10","6.7","-6.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-11","5.6","-0.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-12","3.9","-5.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-13","6.7","0.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-14","10.6","0.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-15","8.9","1.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-16","4.4","-0.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03-17","1.7","-2.8"
